"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"233",37591,"0:25:03",524,289,376,209,NA,NA,"VT0115_S1_VP7_20190607",1,24
"234",37592,"0:25:03",542,156,423,226,NA,NA,"VT0115_S1_VP7_20190607",1,24
"235",37593,"0:25:03",560,197,349,283,NA,NA,"VT0115_S1_VP7_20190607",1,24
"236",37594,"0:25:03",614,177,265,277,NA,NA,"VT0115_S1_VP7_20190607",1,24
"237",37595,"0:25:03",630,152,298,213,NA,NA,"VT0115_S1_VP7_20190607",1,24
"238",37876,"0:25:15",617,211,186,182,NA,NA,"VT0115_S1_VP7_20190607",281,25
"239",37877,"0:25:15",662,250,286,149,NA,NA,"VT0115_S1_VP7_20190607",1,25
"240",37878,"0:25:15",652,330,370,171,NA,NA,"VT0115_S1_VP7_20190607",1,25
"241",37879,"0:25:15",711,490,230,124,NA,NA,"VT0115_S1_VP7_20190607",1,25
"242",38831,"0:25:53",999,575,145,243,NA,NA,"VT0115_S1_VP7_20190607",952,26
"243",38832,"0:25:53",847,508,212,208,NA,NA,"VT0115_S1_VP7_20190607",1,26
"244",38833,"0:25:53",702,441,271,299,NA,NA,"VT0115_S1_VP7_20190607",1,26
"245",38834,"0:25:53",552,363,340,430,NA,NA,"VT0115_S1_VP7_20190607",1,26
"246",38835,"0:25:53",517,292,391,561,NA,NA,"VT0115_S1_VP7_20190607",1,26
"247",38836,"0:25:53",500,204,472,580,NA,NA,"VT0115_S1_VP7_20190607",1,26
"248",38837,"0:25:53",634,186,222,348,NA,NA,"VT0115_S1_VP7_20190607",1,26
"249",38838,"0:25:53",613,158,132,190,NA,NA,"VT0115_S1_VP7_20190607",1,26
"250",38839,"0:25:53",645,167,298,129,NA,NA,"VT0115_S1_VP7_20190607",1,26
"251",38875,"0:25:55",725,140,127,96,NA,NA,"VT0115_S1_VP7_20190607",36,NA
"252",41848,"0:27:53",596,619,101,156,NA,NA,"VT0115_S1_VP7_20190607",2973,27
"253",41849,"0:27:53",574,544,176,169,NA,NA,"VT0115_S1_VP7_20190607",1,27
"254",41850,"0:27:54",511,473,247,276,NA,NA,"VT0115_S1_VP7_20190607",1,27
"255",41851,"0:27:54",479,458,262,237,NA,NA,"VT0115_S1_VP7_20190607",1,27
"256",41852,"0:27:54",484,415,291,223,NA,NA,"VT0115_S1_VP7_20190607",1,27
"257",41853,"0:27:54",509,359,340,235,NA,NA,"VT0115_S1_VP7_20190607",1,27
"258",41854,"0:27:54",505,306,398,414,NA,NA,"VT0115_S1_VP7_20190607",1,27
"259",41855,"0:27:54",498,219,458,487,NA,NA,"VT0115_S1_VP7_20190607",1,27
"260",41856,"0:27:54",499,208,481,428,NA,NA,"VT0115_S1_VP7_20190607",1,27
"261",41857,"0:27:54",574,132,453,277,NA,NA,"VT0115_S1_VP7_20190607",1,27
"262",41858,"0:27:54",611,163,176,141,NA,NA,"VT0115_S1_VP7_20190607",1,27
"263",41859,"0:27:54",649,158,279,150,NA,NA,"VT0115_S1_VP7_20190607",1,27
"264",41875,"0:27:55",590,173,162,130,NA,NA,"VT0115_S1_VP7_20190607",16,27
"265",42463,"0:28:18",675,211,136,120,NA,NA,"VT0115_S1_VP7_20190607",588,28
"266",42464,"0:28:18",638,227,224,174,NA,NA,"VT0115_S1_VP7_20190607",1,28
"267",42465,"0:28:18",674,283,316,159,NA,NA,"VT0115_S1_VP7_20190607",1,28
"268",42466,"0:28:18",510,275,429,549,NA,NA,"VT0115_S1_VP7_20190607",1,28
"269",42467,"0:28:18",683,477,243,205,NA,NA,"VT0115_S1_VP7_20190607",1,28
"270",45795,"0:30:31",631,205,152,167,NA,NA,"VT0115_S1_VP7_20190607",3328,29
"271",45796,"0:30:31",602,217,260,249,NA,NA,"VT0115_S1_VP7_20190607",1,29
"272",45797,"0:30:31",505,245,417,524,NA,NA,"VT0115_S1_VP7_20190607",1,29
"273",45798,"0:30:31",561,349,358,372,NA,NA,"VT0115_S1_VP7_20190607",1,29
"274",45799,"0:30:31",612,544,176,219,NA,NA,"VT0115_S1_VP7_20190607",1,29
"275",45799,"0:30:31",788,629,91,149,NA,NA,"VT0115_S1_VP7_20190607",0,29
"276",45833,"0:30:33",814,604,116,180,NA,NA,"VT0115_S1_VP7_20190607",34,30
"277",45834,"0:30:33",828,527,193,263,NA,NA,"VT0115_S1_VP7_20190607",1,30
"278",45835,"0:30:33",668,500,220,260,NA,NA,"VT0115_S1_VP7_20190607",1,30
"279",45836,"0:30:33",682,476,169,240,NA,NA,"VT0115_S1_VP7_20190607",1,30
"280",45836,"0:30:33",648,597,99,174,NA,NA,"VT0115_S1_VP7_20190607",0,30
"281",45837,"0:30:33",575,471,249,293,NA,NA,"VT0115_S1_VP7_20190607",1,30
"282",45838,"0:30:33",553,449,271,469,NA,NA,"VT0115_S1_VP7_20190607",1,30
"283",45839,"0:30:33",525,403,305,510,NA,NA,"VT0115_S1_VP7_20190607",1,30
"284",45840,"0:30:33",571,364,341,336,NA,NA,"VT0115_S1_VP7_20190607",1,30
"285",45841,"0:30:33",761,460,260,77,NA,NA,"VT0115_S1_VP7_20190607",1,30
"286",45842,"0:30:33",734,448,237,347,NA,NA,"VT0115_S1_VP7_20190607",1,30
"287",45843,"0:30:33",700,416,304,324,NA,NA,"VT0115_S1_VP7_20190607",1,30
"288",45844,"0:30:33",799,549,171,266,NA,NA,"VT0115_S1_VP7_20190607",1,30
