DVDRef,DVDNumber,TapeLength,Protocol,Observer,BroodRef,Situation,Deaths,OffspringNo,Age,Wrong,DVDdate,DVDtime,Weather,Wind,Notes
174,40174,93.69999695,1,,522,4,FALSE,4,3,FALSE,30/5/2004,0/1/1900,0,1,
175,40175,91,1,,512,4,FALSE,3,11,FALSE,30/5/2004,0/1/1900,0,1,
176,40176,93.69999695,1,,523,4,FALSE,4,3,FALSE,30/5/2004,0/1/1900,0,1,
177,40177,93.5,1,,516,4,FALSE,4,7,FALSE,31/5/2004,0/1/1900,1,1,
178,40178,93.80000305,1,,525,4,FALSE,2,2,FALSE,31/5/2004,0/1/1900,1,1,"offspring changed from 3 to 2, all books except video book say 2"
179,40179,93.59999847,1,,526,4,FALSE,2,3,FALSE,31/5/2004,0/1/1900,1,1,
180,40180,93.69999695,1,,524,4,TRUE,4,3,FALSE,31/5/2004,0/1/1900,1,1,CHI 4->3C3D
181,40181,93.80000305,,,548,2,FALSE,5,11,FALSE,31/5/2004,0/1/1900,1,3,
182,40182,93.5,1,,528,4,FALSE,4,3,FALSE,1/6/2004,0/1/1900,3,1,
183,40183,93.69999695,1,,514,4,FALSE,3,11,FALSE,1/6/2004,0/1/1900,3,1,
184,40184,93.69999695,1,,531,4,FALSE,4,3,FALSE,1/6/2004,0/1/1900,3,1,
185,40185,92.40000153,1,,527,4,FALSE,3,3,FALSE,1/6/2004,0/1/1900,3,1,
186,40186,92.40000153,1,,515,4,FALSE,3,7,FALSE,1/6/2004,0/1/1900,3,1,
187,40187,93.80000305,1,,529,4,FALSE,4,2,FALSE,1/6/2004,0/1/1900,3,2,"offspring changed from 3 to 4, books say so"
188,40188,93.59999847,1,,517,4,FALSE,3,7,FALSE,1/6/2004,0/1/1900,3,2,
189,40189,93.80000305,1,,530,4,FALSE,5,3,FALSE,1/6/2004,0/1/1900,3,2,
190,40190,93.40000153,1,,535,4,FALSE,3,3,FALSE,2/6/2004,0/1/1900,0,0,
191,40191,93.69999695,1,,518,4,FALSE,2,7,FALSE,2/6/2004,0/1/1900,0,0,
192,40192,93.80000305,1,,532,4,FALSE,4,3,FALSE,2/6/2004,0/1/1900,0,0,
193,40193,93.80000305,1,,536,4,FALSE,5,3,FALSE,2/6/2004,0/1/1900,0,0,
194,40194,93.69999695,1,,520,4,FALSE,1,7,FALSE,2/6/2004,0/1/1900,0,0,
195,40195,,,,534,4,TRUE,0,2,FALSE,2/6/2004,0/1/1900,0,0,CHI 1->0C3D. Excel file not uploaded because no chicks Isabel Winney 20160225
196,40196,93.5,1,,539,4,FALSE,3,3,FALSE,2/6/2004,0/1/1900,0,0,
197,40197,93.69999695,1,,519,4,FALSE,2,7,FALSE,2/6/2004,0/1/1900,0,0,
198,40198,93.80000305,1,,527,4,FALSE,3,4,FALSE,2/6/2004,0/1/1900,0,0,
199,40199,93.69999695,,,515,4,FALSE,3,8,TRUE,2/6/2004,0/1/1900,0,0,
200,40200,93.69999695,1,,523,4,FALSE,4,7,FALSE,3/6/2004,0/1/1900,0,0,
201,40201,93.80000305,1,,538,4,FALSE,3,3,FALSE,3/6/2004,0/1/1900,0,0,
202,40202,91.80000305,1,,543,4,FALSE,3,3,FALSE,3/6/2004,0/1/1900,0,0,
203,40203,93.80000305,1,,537,4,FALSE,3,3,FALSE,3/6/2004,0/1/1900,0,0,
204,40204,93.5,1,,542,4,FALSE,3,3,FALSE,3/6/2004,0/1/1900,0,0,
205,40205,93.69999695,1,,541,4,FALSE,1,8,FALSE,3/6/2004,0/1/1900,0,0,
206,40206,93.69999695,,,549,2,FALSE,5,12,FALSE,3/6/2004,0/1/1900,0,0,
207,40207,93.69999695,,,551,2,FALSE,4,11,FALSE,3/6/2004,0/1/1900,0,0,
208,40208,92.5,1,,516,4,FALSE,4,11,FALSE,4/6/2004,0/1/1900,2,0,
209,40209,,,,545,4,FALSE,2,3,FALSE,4/6/2004,0/1/1900,2,0,too dark to identify sexes
210,40210,93.80000305,1,,522,4,FALSE,1,8,FALSE,4/6/2004,0/1/1900,2,0,
211,40211,93.69999695,1,,525,4,FALSE,2,7,FALSE,4/6/2004,0/1/1900,2,0,
212,40212,93.80000305,1,,526,4,FALSE,2,7,FALSE,4/6/2004,0/1/1900,1,0,
213,40213,93.69999695,1,,524,4,FALSE,1,7,FALSE,4/6/2004,0/1/1900,1,0,
214,40214,93.40000153,1,,546,4,FALSE,1,3,FALSE,4/6/2004,0/1/1900,1,0,
215,40215,93.80000305,1,,544,4,FALSE,3,3,FALSE,4/6/2004,0/1/1900,1,0,
216,40216,,,,,2,FALSE,2,11,TRUE,4/6/2004,0/1/1900,1,0,Abandanment
217,40217,93.80000305,,,550,2,FALSE,4,11,FALSE,4/6/2004,0/1/1900,1,0,
218,40218,93.09999847,,,556,2,FALSE,5,11,FALSE,5/6/2004,0/1/1900,1,1,
219,40219,93.90000153,,,553,2,FALSE,5,12,FALSE,5/6/2004,0/1/1900,1,1,
220,40220,93.69999695,1,,530,4,FALSE,5,7,FALSE,5/6/2004,0/1/1900,1,1,
221,40221,93.69999695,1,,517,4,FALSE,3,11,FALSE,5/6/2004,0/1/1900,1,1,
222,40222,93.69999695,1,,528,4,FALSE,2,7,FALSE,5/6/2004,0/1/1900,0,0,
223,40223,93.80000305,1,,531,4,FALSE,2,7,FALSE,5/6/2004,0/1/1900,0,0,
224,40224,93.69999695,1,,529,4,FALSE,4,7,FALSE,5/6/2004,0/1/1900,0,0,
