DVDRef,TapeLength,EffectiveLength,MaleFemaleOverlap,FemaleFeedCount,MaleFeedCount,FemaleFeedTime,FemaleNonFeedTime,MaleFeedTime,MaleNonFeedTime
319,93.80000305,93.80000305,4.099999905,5,15,71.30000305,0.600000024,26.20000076,14.19999981
320,93.5,91.59999847,0.5,17,13,8.5,1.600000024,1.600000024,0.200000003
321,93.80000305,84.90000153,1.5,8,16,44.40000153,,25.5,2.900000095
323,93.90000153,91.40000153,0.200000003,30,1,23.10000038,1.799999952,0.200000003,9.100000381
324,93.59999847,87,0,10,7,49.70000076,2.5,19.39999962,3.299999952
325,93.59999847,91.09999847,0.400000006,13,6,33,0.200000003,10.60000038,3
329,93.59999847,88.59999847,0.800000012,6,30,14,2.400000095,14.69999981,2.400000095
330,93.59999847,89.80000305,0.200000003,4,9,41.90000153,1.100000024,28.20000076,3.099999905
331,93.80000305,91.59999847,4,7,11,58.70000076,0.200000003,31.79999924,2.599999905
333,93.69999695,89.19999695,1.5,24,25,20.70000076,,12.19999981,1.799999952
334,93.5,87.80000305,0,5,8,1.200000048,12.69999981,1.700000048,0.800000012
335,93.69999695,86.5,0,21,,3.900000095,1.899999976,,
336,93.80000305,83.5,0.200000003,5,10,38.29999924,4.800000191,27.29999924,15.69999981
338,93.80000305,91.90000153,0,24,4,44.09999847,5.400000095,0.899999976,0.200000003
341,93.69999695,89.19999695,0.200000003,10,8,47.70000076,1.100000024,27.39999962,1
342,92.69999695,89.40000153,0.100000001,11,13,43.09999847,0.100000001,19,1
343,92.30000305,92.30000305,0,12,2,69.09999847,3.200000048,13.80000019,3.599999905
344,93.80000305,85.19999695,1,9,13,26.79999924,0.200000003,2.5,0.400000006
345,93.80000305,86.80000305,0.800000012,13,12,30,1,36.70000076,3.799999952
346,93.69999695,89.90000153,0,11,13,20,0.699999988,34.70000076,8.600000381
347,93.69999695,91.90000153,3,6,12,61,0.699999988,31.70000076,1.5
348,93.5,92.30000305,0.200000003,15,14,25.10000038,2.700000048,19.39999962,10.80000019
350,93.80000305,93.80000305,0.5,10,8,45.79999924,1.200000048,36.20000076,4.400000095
351,93.80000305,93.80000305,0,11,11,33.20000076,1.899999976,41.90000153,0.400000006
352,93.80000305,82,0,11,9,36.20000076,1.799999952,13.39999962,2.200000048
353,90.80000305,90.80000305,0,11,9,24.79999924,0.200000003,46.59999847,0.400000006
354,93.59999847,92.90000153,0.200000003,10,7,43.79999924,1.100000024,36.40000153,1
355,93.5,91.19999695,0,28,12,27.60000038,0.5,6.599999905,1.299999952
356,93.5,89.5,0.300000012,8,10,32.59999847,0.300000012,28.79999924,2.200000048
358,93.5,92.19999695,2.200000048,8,10,58.79999924,0.300000012,13.10000038,6.900000095
359,93.80000305,88.09999847,0,10,12,19.20000076,4.800000191,12.80000019,4
360,93.69999695,91.5,0,6,2,21.60000038,1.899999976,17.89999962,3.900000095
