Frame,Clock,x,y,h,w,label,score
52238,0:34:49,660,87,633,519,Positive,0.9796108
52239,0:34:49,928,232,488,317,Positive,0.8990154
52239,0:34:49,702,281,385,453,Negative,0.7531483
52239,0:34:49,886,399,301,145,Positive,0.98956364
55064,0:36:42,334,495,225,263,Positive,0.83734226
55065,0:36:42,379,382,338,314,Negative,0.80380124
55066,0:36:42,431,302,418,299,Negative,0.61580384
55068,0:36:42,621,294,393,329,Positive,0.53785974
55069,0:36:42,636,207,444,479,Positive,0.99893564
55070,0:36:42,656,150,451,426,Positive,0.99999344
55071,0:36:42,747,118,337,195,Positive,0.9984445
55072,0:36:42,667,122,409,310,Positive,0.9905861
55073,0:36:42,726,129,136,284,Negative,0.76456964
55077,0:36:43,805,128,212,177,Positive,0.52688
55080,0:36:43,927,152,158,242,Positive,0.5580243
55081,0:36:43,777,141,443,282,Positive,0.9964232
55082,0:36:43,800,165,423,273,Positive,0.96232253
55205,0:36:48,878,377,141,70,Positive,0.8285828
55206,0:36:48,678,141,456,487,Positive,0.99992836
55207,0:36:48,722,136,470,357,Positive,0.99999976
55208,0:36:48,708,199,360,334,Positive,0.997152
55209,0:36:48,677,179,373,460,Positive,0.95303226
55210,0:36:48,659,176,278,189,Positive,0.9996007
55211,0:36:48,685,109,106,198,Negative,0.61318827
55261,0:36:50,729,139,390,269,Positive,0.9961105
55262,0:36:50,655,144,382,367,Positive,0.7397295
55263,0:36:50,745,124,390,288,Positive,0.99817145
55264,0:36:50,715,145,366,373,Positive,0.99805236
55267,0:36:50,758,228,454,493,Negative,0.52232957
55268,0:36:50,765,322,398,515,Negative,0.81861836
58025,0:38:41,334,422,298,333,Negative,0.65031904
58026,0:38:41,589,389,331,236,Positive,0.56713736
58027,0:38:41,617,298,387,425,Positive,0.73187786
58028,0:38:41,584,185,484,510,Positive,0.99998677
58028,0:38:41,813,366,184,144,Positive,0.62341404
58029,0:38:41,646,157,458,295,Positive,0.9937302
58030,0:38:41,698,103,398,253,Positive,0.9999858
58031,0:38:41,731,126,438,378,Positive,0.99506325
58032,0:38:41,749,112,395,360,Positive,0.99999607
58033,0:38:41,841,157,187,156,Positive,0.82639384
58258,0:38:50,814,251,177,146,Positive,0.63750553
58259,0:38:50,755,157,369,218,Positive,0.9215121
58260,0:38:50,761,440,78,162,Positive,0.91156185
58261,0:38:50,775,174,328,321,Positive,0.99577713
58262,0:38:50,718,148,335,341,Positive,0.89896226
58263,0:38:50,790,408,65,167,Negative,0.98159283
58263,0:38:50,734,127,198,305,Positive,0.9990293
58268,0:38:50,818,168,281,158,Positive,0.72246045
58269,0:38:50,808,201,250,118,Negative,0.831273
58270,0:38:50,817,176,175,148,Negative,0.9413822
58292,0:38:51,848,180,133,127,Positive,0.7551318
58323,0:38:52,885,154,119,83,Negative,0.9423145
58351,0:38:54,885,123,130,140,Positive,0.95917904
58352,0:38:54,870,154,157,189,Positive,0.9865959
58353,0:38:54,858,196,239,233,Positive,0.99911994
58354,0:38:54,678,187,492,559,Positive,0.77573806
58355,0:38:54,837,309,411,381,Positive,0.623612
58356,0:38:54,880,582,138,400,Negative,0.781312
59431,0:39:37,0,105,615,1075,Positive,0.90992594
60163,0:40:06,828,499,221,298,Positive,0.97627264
60164,0:40:06,670,390,317,295,Positive,0.9511645
60164,0:40:06,887,522,174,76,Negative,0.65984905
60165,0:40:06,621,295,385,314,Positive,0.7032822
60166,0:40:06,643,233,381,435,Positive,0.8668734
60167,0:40:06,670,111,429,333,Positive,0.71479344
60168,0:40:06,656,134,368,353,Positive,0.9988912
60169,0:40:06,609,12,458,350,Positive,1.0
60170,0:40:06,640,114,355,324,Positive,0.9960018
60171,0:40:06,761,106,242,322,Positive,0.99714655
60171,0:40:06,708,143,151,192,Negative,0.6709325
60172,0:40:06,629,98,222,372,Positive,0.92635167
60173,0:40:06,671,75,229,328,Positive,0.90885067
60174,0:40:06,662,102,334,449,Positive,0.99972564
60175,0:40:07,847,104,202,127,Negative,0.8630243
60190,0:40:07,660,141,398,502,Positive,0.74209136
60190,0:40:07,640,237,298,251,Negative,0.77577597
60191,0:40:07,682,175,377,497,Positive,0.9827759
60192,0:40:07,962,353,100,93,Negative,0.99999666
60192,0:40:07,744,254,192,68,Negative,0.945736
60193,0:40:07,962,145,206,147,Positive,0.99897075
60194,0:40:07,907,256,230,209,Positive,0.9931832
60265,0:40:10,815,351,157,155,Negative,0.72895354
60266,0:40:10,707,200,311,291,Positive,0.6128977
60267,0:40:10,649,189,361,519,Positive,0.93193316
60268,0:40:10,655,202,326,546,Positive,0.9983804
60269,0:40:10,697,116,372,376,Positive,0.9998568
60270,0:40:10,959,110,346,162,Positive,0.9999615
60270,0:40:10,671,172,212,225,Positive,0.78075004
60272,0:40:10,784,101,262,214,Positive,0.9996486
60330,0:40:13,866,189,258,177,Negative,0.7498755
60330,0:40:13,775,238,199,155,Negative,0.7886416
60331,0:40:13,814,232,169,205,Positive,0.74614847
60463,0:40:18,822,134,274,234,Positive,0.99824464
60463,0:40:18,966,212,161,58,Positive,0.73499435
60464,0:40:18,684,128,434,461,Positive,0.99978966
60465,0:40:18,783,160,476,427,Positive,0.90078396
60466,0:40:18,837,77,426,443,Positive,0.88766026
60467,0:40:18,832,219,483,448,Positive,0.7905582
60467,0:40:18,899,261,189,264,Positive,0.90352625
62647,0:41:45,863,631,89,166,Negative,0.9310732
62648,0:41:45,762,503,217,266,Positive,0.69122416
62649,0:41:45,709,396,306,347,Positive,0.81251955
62650,0:41:46,655,285,393,304,Positive,0.7230953
62651,0:41:46,631,223,435,313,Positive,0.992581
62652,0:41:46,609,77,459,557,Positive,0.99991786
62653,0:41:46,652,104,407,344,Positive,0.9815833
62654,0:41:46,687,129,350,288,Positive,0.99960047
62655,0:41:46,830,148,278,281,Positive,0.9935409
62655,0:41:46,671,182,220,335,Positive,0.9648502
62656,0:41:46,739,142,241,345,Negative,0.7624224
62657,0:41:46,706,132,191,241,Positive,0.7013573
62660,0:41:46,646,111,193,345,Negative,0.84912795
62661,0:41:46,929,105,184,237,Positive,0.9893673
62662,0:41:46,749,263,196,96,Negative,0.99802065
62662,0:41:46,795,56,428,232,Positive,0.99998677
62664,0:41:46,996,157,158,108,Positive,0.96116906
62666,0:41:46,901,76,139,158,Negative,0.64435196
62670,0:41:46,861,131,102,112,Negative,0.8526553
62909,0:41:56,677,122,367,355,Positive,0.99667764
62910,0:41:56,675,132,352,388,Positive,0.9541632
62911,0:41:56,696,158,315,434,Positive,0.55924946
62912,0:41:56,731,149,455,489,Positive,0.99068063
62914,0:41:56,857,230,472,423,Negative,0.6891916
62915,0:41:56,1046,557,163,234,Positive,0.92381877
64262,0:42:50,10,419,301,523,Positive,0.9475602
64265,0:42:50,628,262,411,369,Positive,0.58588165
64266,0:42:50,637,91,556,473,Positive,0.99999595
64267,0:42:50,654,80,488,369,Positive,0.99825865
64268,0:42:50,814,87,413,193,Positive,0.93199724
64269,0:42:50,825,110,198,182,Positive,0.821674
64471,0:42:58,890,136,105,141,Positive,0.80678976
64591,0:43:03,811,132,369,126,Positive,0.998889
64592,0:43:03,809,304,184,145,Positive,0.9848423
64593,0:43:03,811,301,166,116,Positive,0.7616165
64594,0:43:03,807,178,282,154,Positive,0.96925104
64595,0:43:03,814,192,268,162,Positive,0.79652804
64597,0:43:03,881,219,114,107,Positive,0.6685641
64600,0:43:04,879,191,130,143,Positive,0.9917298
65551,0:43:42,930,160,130,105,Negative,0.9033499
