Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
39819,0:26:32,846,217,233,179,Positive,0.9292543,Exit,M,
39820,0:26:32,818,259,332,215,Positive,0.5715213,Exit,M,
39821,0:26:32,726,299,418,397,Positive,0.69613147,Exit,M,
39822,0:26:32,853,571,149,238,Positive,0.6400709,Exit,M,
48826,0:32:33,475,540,180,352,Positive,0.538042,Around,F,Feed from outside
48827,0:32:33,560,411,309,453,Positive,0.9472395,Around,F,
48828,0:32:33,614,302,418,372,Positive,0.99928266,Around,F,
48829,0:32:33,625,251,412,423,Positive,0.99888664,Around,F,
48830,0:32:33,716,199,438,365,Positive,0.98650485,Around,F,
48831,0:32:33,652,139,389,523,Positive,0.9899344,Around,F,
48832,0:32:33,750,131,372,265,Positive,0.9576866,Around,F,
48833,0:32:33,769,133,350,211,Positive,0.98906004,Around,F,
48836,0:32:33,765,127,231,261,Positive,0.6536849,Around,F,
48846,0:32:33,840,394,139,132,Negative,0.9143173,Around,F,
48848,0:32:33,910,130,91,152,Negative,0.86653346,Around,F,
49249,0:32:49,803,217,223,174,Negative,0.77734536,Around,F,
49250,0:32:50,656,181,203,428,Negative,0.8255932,Around,F,
49251,0:32:50,727,131,391,288,Positive,0.9999956,Around,F,
49252,0:32:50,785,127,373,276,Positive,0.976985,Around,F,
49253,0:32:50,807,131,364,228,Positive,0.9279907,Around,F,
49254,0:32:50,811,166,301,240,Positive,0.9034307,Around,F,
49283,0:32:51,854,112,231,180,Negative,0.9267508,Around,F,
49285,0:32:51,672,48,546,491,Positive,0.982398,Around,F,
49286,0:32:51,894,113,607,372,Positive,0.7772894,Around,F,
49286,0:32:51,704,149,403,374,Positive,0.60866034,Around,F,
49287,0:32:51,795,234,486,481,Positive,0.9294489,Around,F,
49288,0:32:51,954,593,127,298,Positive,0.56562984,Around,F,
49288,0:32:51,843,317,118,105,Positive,0.995365,Around,F,
51549,0:34:21,1013,545,175,267,Positive,0.8348175,Around,M,Feed from outside
51550,0:34:22,885,467,248,299,Positive,0.961847,Around,M,
51551,0:34:22,717,401,300,313,Positive,0.89694285,Around,M,
51551,0:34:22,878,495,144,200,Positive,0.949221,Around,M,
51552,0:34:22,675,348,342,285,Positive,0.606866,Around,M,
51553,0:34:22,608,298,383,295,Positive,0.67934966,Around,M,
51554,0:34:22,612,250,334,393,Positive,1,Around,M,
51555,0:34:22,606,130,424,561,Positive,0.9959745,Around,M,
51556,0:34:22,674,108,350,263,Positive,0.99619293,Around,M,
51557,0:34:22,635,121,393,362,Positive,0.99826175,Around,M,
51558,0:34:22,649,109,367,365,Positive,0.93111026,Around,M,
51559,0:34:22,654,131,253,327,Positive,0.53803796,Around,M,
51561,0:34:22,653,223,120,118,Negative,1,Around,M,
51561,0:34:22,857,114,185,207,Positive,0.9633972,Around,M,
51563,0:34:22,646,161,318,326,Positive,0.9475257,Around,M,
51564,0:34:22,759,162,204,351,Positive,0.9222998,Around,M,
51565,0:34:22,911,85,238,132,Negative,0.8913982,Around,M,
51567,0:34:22,755,155,367,410,Positive,0.96444273,Around,M,
51942,0:34:37,877,130,79,135,Positive,0.994445,Around,MF,"Female Flies in, both sex in same frame"
51948,0:34:37,732,140,549,548,Positive,0.9896483,Around,MF,
51949,0:34:37,620,412,308,397,Positive,0.7859415,Around,MF,
51952,0:34:38,427,646,74,126,Negative,0.5288691,Around,MF,
51953,0:34:38,245,623,97,304,Positive,0.5904987,Around,MF,
51954,0:34:38,218,501,218,281,Positive,0.6242792,Around,MF,
51957,0:34:38,229,418,302,434,Negative,0.574801,Around,MF,
51959,0:34:38,235,298,413,610,Positive,0.8877674,Around,MF,
51961,0:34:38,481,342,275,304,Positive,0.5616161,Around,MF,
51962,0:34:38,361,169,408,356,Negative,0.6806652,Around,MF,
51963,0:34:38,486,245,392,203,Positive,0.8316163,Around,MF,
